Cycle,Time,T_parison,T_mold,T_gob,t_contact,t_cooling,Error,Reward
111,1496.32,990.9443573,377.9935396,1123,3.866920045,4.392008755,1.352579096,-1.352579096
112,1509.68,991.0079353,378.0521995,1123,3.866920045,4.392008755,1.289001167,-1.289001167
113,1523.04,991.0676698,378.107307,1123,3.866920045,4.392008755,1.229266598,-1.229266598
114,1536.4,991.1237917,378.1590769,1123,3.866920045,4.392008755,1.173144737,-1.173144737
115,1549.76,991.176518,378.2077111,1123,3.866920045,4.392008755,1.120418442,-1.120418442
116,1563.12,991.2260531,378.2533991,1123,3.866920045,4.392008755,1.070883355,-1.070883355
117,1576.48,991.2725892,378.2963194,1123,3.866920045,4.392008755,1.024347195,-1.024347195
118,1589.84,991.3163073,378.3366394,1123,3.866920045,4.392008755,0.980629092,-0.980629092
119,1603.2,991.3573775,378.3745165,1123,3.866920045,4.392008755,0.939558942,-0.939558942
120,1616.56,991.3959596,378.4100986,1123,3.866920045,4.392008755,0.900976794,-0.900976794
121,1629.92,991.4322042,378.4435247,1123,3.866920045,4.392008755,0.864732267,-0.864732267
122,1643.28,991.4662524,378.4749254,1123,3.866920045,4.392008755,0.830683994,-0.830683994
123,1656.64,991.4982373,378.5044233,1123,3.866920045,4.392008755,0.798699099,-0.798699099
124,1670,991.5282837,378.5321337,1123,3.866920045,4.392008755,0.7686527,-0.7686527
125,1683.36,991.556509,378.5581649,1123,3.866920045,4.392008755,0.740427431,-0.740427431
126,1696.72,991.5830234,378.5826187,1123,3.866920045,4.392008755,0.713913006,-0.713913006
127,1710.08,991.6079306,378.6055905,1123,3.866920045,4.392008755,0.689005793,-0.689005793
128,1723.44,991.631328,378.6271702,1123,3.866920045,4.392008755,0.665608419,-0.665608419
129,1736.8,991.653307,378.6474421,1123,3.866920045,4.392008755,0.643629394,-0.643629394
130,1750.16,991.6739537,378.6664856,1123,3.866920045,4.392008755,0.622982764,-0.622982764
131,1763.52,991.6933487,378.6843749,1123,3.866920045,4.392008755,0.603587772,-0.603587772
132,1776.88,991.7115679,378.7011801,1123,3.866920045,4.392008755,0.585368552,-0.585368552
133,1790.24,991.7286826,378.7169669,1123,3.866920045,4.392008755,0.568253828,-0.568253828
134,1803.6,991.7447598,378.7317969,1123,3.866920045,4.392008755,0.552176645,-0.552176645
135,1816.96,991.7598623,378.7457282,1123,3.866920045,4.392008755,0.537074101,-0.537074101
136,1830.32,991.7740493,378.7588152,1123,3.866920045,4.392008755,0.522887107,-0.522887107
