Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
Nominal,1,13.36,968.8020949761409,374.7301875495851,106.0,120.0
Nominal,2,26.72,968.801456190413,374.72977555854413,106.0,120.0
Nominal,3,40.08,968.8008675623589,374.7293959304775,106.0,120.0
Nominal,4,53.44,968.800325156121,374.7290461238721,106.0,120.0
Nominal,5,66.8,968.7998253443282,374.7287237967011,106.0,120.0
Nominal,6,80.16,968.7993647839095,374.7284267907823,106.0,120.0
Nominal,7,93.52,968.7989403939285,374.72815311735746,106.0,120.0
Nominal,8,106.88,968.7985493350922,374.72790094380275,106.0,120.0
Nominal,9,120.24,968.7981889906886,374.7276685813844,106.0,120.0
Nominal,10,133.6,968.7978569493121,374.72745447396545,106.0,120.0
Nominal,11,146.95999999999998,968.7975509887393,374.72725718760375,106.0,120.0
Nominal,12,160.32,968.7972690610995,374.72707540096104,106.0,120.0
Nominal,13,173.68,968.7970092792027,374.7269078964646,106.0,120.0
Nominal,14,187.04000000000002,968.7967699039934,374.7267535521642,106.0,120.0
Nominal,15,200.40000000000003,968.7965493328663,374.726611334227,106.0,120.0
Nominal,16,213.76000000000005,968.7963460890321,374.72648029001647,106.0,120.0
Nominal,17,227.12000000000006,968.796158811624,374.72635954172216,106.0,120.0
Nominal,18,240.48000000000008,968.7959862465949,374.72624828048095,106.0,120.0
Nominal,19,253.8400000000001,968.7958272383969,374.7261457609644,106.0,120.0
Nominal,20,267.2000000000001,968.7956807221744,374.7260512963903,106.0,120.0
Nominal,21,280.5600000000001,968.7955457166888,374.7259642539265,106.0,120.0
Nominal,22,293.92000000000013,968.7954213177445,374.72588405045116,106.0,120.0
Nominal,23,307.28000000000014,968.7953066921906,374.72581014865045,106.0,120.0
Nominal,24,320.64000000000016,968.7952010722672,374.72574205342073,106.0,120.0
Nominal,25,334.00000000000017,968.7951037505318,374.7256793085531,106.0,120.0
Nominal,26,347.3600000000002,968.7950140750659,374.72562149368036,106.0,120.0
Nominal,27,360.7200000000002,968.7949314452303,374.72556822145657,106.0,120.0
Nominal,28,374.0800000000002,968.7948553074671,374.72551913496983,106.0,120.0
Nominal,29,387.4400000000002,968.7947851517991,374.7254739053463,106.0,120.0
Nominal,30,400.80000000000024,968.7947205081949,374.7254322295525,106.0,120.0
Nominal,31,414.16000000000025,968.7946609436663,374.72539382835953,106.0,120.0
Nominal,32,427.52000000000027,968.7946060591212,374.72535844448095,106.0,120.0
Nominal,33,440.8800000000003,968.7945554869278,374.7253258408395,106.0,120.0
Nominal,34,454.2400000000003,968.7945088882229,374.72529579898855,106.0,120.0
Nominal,35,467.6000000000003,968.7944659508526,374.72526811764294,106.0,120.0
Nominal,36,480.9600000000003,968.794426387162,374.7252426113316,106.0,120.0
Nominal,37,494.32000000000033,968.794389932061,374.7252191091575,106.0,120.0
Nominal,38,507.68000000000035,968.7943563413464,374.7251974536481,106.0,120.0
Nominal,39,521.0400000000003,968.7943253899286,374.725177499707,106.0,120.0
Nominal,40,534.4000000000003,968.7942968704555,374.7251591136352,106.0,120.0
Nominal,41,547.7600000000003,968.7942705918484,374.72514217224096,106.0,120.0
