Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
0,13.36,994.486639626146,398.9362444263829,106.0,120.0
1,26.72,993.1263132338642,397.4591786874191,106.0,120.0
2,40.08,991.8271339694952,396.0645880499363,106.0,120.0
3,53.44,990.5878410328675,394.7483908862118,106.0,120.0
4,66.8,989.4070049091116,393.50664334336295,106.0,120.0
5,80.16,988.2830267362642,392.33554391017316,106.0,120.0
6,93.52,987.2141492546777,391.231437397523,106.0,120.0
7,106.88,986.1984761869686,390.19081799544426,106.0,120.0
8,120.24,985.2339973189944,389.2103311937398,106.0,120.0
9,133.6,984.3186169587561,388.2867744555067,106.0,120.0
10,146.95999999999998,983.450183843894,387.41709661538897,106.0,120.0
11,160.32,982.6265209262367,386.5983960393617,106.0,120.0
12,173.68,981.8454537761858,385.82791763292636,106.0,120.0
13,187.04000000000002,981.1048366258163,385.1030488221012,106.0,120.0
14,200.40000000000003,980.4025753219942,384.42131465788435,106.0,120.0
15,213.76000000000005,979.7366466975293,383.78037221111407,106.0,120.0
16,227.12000000000006,979.105114087266,383.17800443175423,106.0,120.0
17,240.48000000000008,978.5061389131155,382.61211364575564,106.0,120.0
18,253.8400000000001,977.9379884291448,382.08071485516774,106.0,120.0
19,267.2000000000001,977.3990398531698,381.5819289944528,106.0,120.0
20,280.5600000000001,976.8877812153385,381.11397627938067,106.0,120.0
21,293.92000000000013,976.4028093297396,380.6751697656111,106.0,120.0
22,307.28000000000014,975.9428253473221,380.26390921308274,106.0,120.0
23,320.64000000000016,975.5066283777422,379.8786753305201,106.0,120.0
24,334.00000000000017,975.0931076785928,379.51802445253884,106.0,120.0
25,347.3600000000002,974.701233901272,379.18058368070314,106.0,120.0
26,360.7200000000002,974.3300498557194,378.8650465002508,106.0,120.0
27,374.0800000000002,973.9786612130544,378.57016886664496,106.0,120.0
28,387.4400000000002,973.646227507721,378.2947657411942,106.0,120.0
29,400.80000000000024,973.3319537344361,378.03770804307,106.0,120.0
30,414.16000000000025,973.0350827625014,377.79791997632356,106.0,120.0
31,427.52000000000027,972.7548887178004,377.5743766849446,106.0,120.0
