T_gob,T_parison_nom,T_mold_nom,T_parison_min,T_parison_max
1100,968.8119211,374.7365269,966.9765769,972.3035454
1105,973.6090321,375.2393084,971.6810163,977.2337718
1110,978.397581,375.7606212,976.3841586,982.1497971
1115,983.1790126,376.297215,981.085094,987.0494122
1120,987.9523372,376.8506738,985.7859966,991.9331979
1125,992.7192171,377.4173895,990.4850574,996.8017137
1130,997.479542,377.9972829,995.1827292,1001.656388
1135,1002.23368,378.589393,999.8802077,1006.497439
1140,1006.982579,379.1917017,1004.576457,1011.327124
1145,1011.72652,379.803532,1009.271854,1016.146319
1150,1016.466129,380.4235886,1013.96647,1020.95628
1155,1021.201702,381.0513185,1018.660227,1025.757331
1160,1025.933905,381.6853436,1023.353253,1030.551254
1165,1030.663165,382.3248446,1028.045628,1035.339128
1170,1035.38988,382.9690687,1032.737368,1040.12162
1175,1040.114329,383.6174892,1037.428283,1044.899698
1180,1044.83669,384.2697747,1042.118746,1049.673652
1185,1049.557403,384.9250998,1046.808327,1054.444224
1190,1054.27636,385.5836995,1051.49761,1059.211403
1195,1058.993879,386.2449702,1056.186201,1063.975827
1200,1063.710037,386.9087849,1060.874249,1068.738113
